"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_1","Regressor_10","BostonHousing",0.816505308870341,0.952090719256059,0.692963409904864,0.777437178794919
"Regressor_1","Regressor_11","BostonHousing",0.920817821855091,0.756223596092044,0.67507582489288,0.73037647356436
"Regressor_1","Regressor_12","BostonHousing",0.948286762615106,0.833745506973939,0.820804722230963,0.768940834682724
"Regressor_1","Regressor_13","BostonHousing",0.941552854570757,0.90164562096834,0.591381487328611,0.603635089216026
"Regressor_1","Regressor_14","BostonHousing",0.822073358679105,0.862248104771071,0.832665690469958,0.853780221603973
"Regressor_1","Regressor_15","BostonHousing",0.845851936829306,0.830251830973566,0.759650442806253,0.563814907656993
"Regressor_1","Regressor_16","BostonHousing",0.896282115202773,0.901375012134335,0.886275942841382,0.754229895531221
"Regressor_1","Regressor_17","BostonHousing",0.872497920782538,0.846396871307175,0.636430295543371,0.738707792800473
"Regressor_1","Regressor_18","BostonHousing",0.870943236649601,0.946663416937822,0.889344544747057,0.700239242852152
"Regressor_1","Regressor_19","BostonHousing",0.847484090130221,0.808426030995606,0.829844021509519,0.740700600691583
"Regressor_1","Regressor_2","BostonHousing",0.961068992960719,0.814047558345805,0.65414958912784,0.782474875440111
"Regressor_1","Regressor_20","BostonHousing",0.893745397638439,0.915099269323427,0.6884560112053,0.587334784714885
"Regressor_1","Regressor_21","BostonHousing",0.858658362495282,0.822387612061722,0.870797923762099,0.757504104918042
"Regressor_1","Regressor_22","BostonHousing",0.946377924458239,0.842275904393529,0.880777465372077,0.770293319589661
"Regressor_1","Regressor_23","BostonHousing",0.873283731317377,0.84112046601388,0.807796364587184,0.692237091420547
"Regressor_1","Regressor_24","BostonHousing",0.867774571819825,0.955870565305541,0.815644863355444,0.87646040839889
"Regressor_1","Regressor_25","BostonHousing",0.881675357015086,0.739762339103425,0.680647146376916,0.713732020676384
"Regressor_1","Regressor_26","BostonHousing",0.841003768608187,0.860355743688732,0.666028549139952,0.745101334085155
"Regressor_1","Regressor_27","BostonHousing",0.85181256264438,0.915695753876937,0.836128490202185,0.721656073657763
"Regressor_1","Regressor_28","BostonHousing",0.884061712117804,0.904338606628205,0.804140010535376,0.686678698458005
"Regressor_1","Regressor_29","BostonHousing",0.927496558403319,0.842878886895859,0.841206091119797,0.818933932787285
"Regressor_1","Regressor_3","BostonHousing",0.917767526223454,0.944761145602644,0.763344552174864,0.811840610585307
"Regressor_1","Regressor_30","BostonHousing",0.969067502395992,0.830889874184041,0.842315350031619,0.770693495363822
"Regressor_1","Regressor_31","BostonHousing",0.810033800503508,0.910477672239665,0.818638929448167,0.701394217773139
"Regressor_1","Regressor_32","BostonHousing",0.934999661642822,0.847757387767229,0.741641848688878,0.702566630263779
"Regressor_1","Regressor_33","BostonHousing",0.832525187429356,0.884436639855653,0.864585436446935,0.712847645536775
"Regressor_1","Regressor_34","BostonHousing",0.852774203760567,0.861272652093958,0.691884269567989,0.772364712726671
"Regressor_1","Regressor_35","BostonHousing",0.854102512859754,0.920742924466071,0.842144063398496,0.834909049010882
"Regressor_1","Regressor_36","BostonHousing",0.857884922800201,0.841349988888134,0.859307426162747,0.762862172239897
"Regressor_1","Regressor_4","BostonHousing",0.83921417947401,0.93920407337444,0.870114838103744,0.720008718749942
"Regressor_1","Regressor_5","BostonHousing",0.850058392627707,0.806830224699806,0.835753737786606,0.862291035317964
"Regressor_1","Regressor_6","BostonHousing",0.856586305208671,0.920564008185462,0.747294924296251,0.784376203802499
"Regressor_1","Regressor_7","BostonHousing",0.848265921729452,0.806012643963499,0.8034672953741,0.71850437252306
"Regressor_1","Regressor_8","BostonHousing",0.926912013847098,0.907791204868898,0.78432265783318,0.728981385820585
"Regressor_1","Regressor_9","BostonHousing",0.876930607896075,0.905225470206742,0.654992505067653,0.78036499443543
"Regressor_10","Regressor_1","BostonHousing",0.816505308870341,0.952090719256059,0.692963409904864,0.777437178794919
"Regressor_10","Regressor_11","BostonHousing",0.866102907916136,0.817336564708275,0.46953441580781,0.697934705603465
"Regressor_10","Regressor_12","BostonHousing",0.8304074908766,0.892459538886246,0.791886719526909,0.800707877619767
"Regressor_10","Regressor_13","BostonHousing",0.821666030309778,0.913380518982686,0.603686419799372,0.650663872700495
"Regressor_10","Regressor_14","BostonHousing",0.959317932937096,0.895400442319603,0.529336057421912,0.72564568837201
"Regressor_10","Regressor_15","BostonHousing",0.938399364987959,0.842891722137268,0.662337274702547,0.744854705282636
"Regressor_10","Regressor_16","BostonHousing",0.887136420480504,0.959124631458893,0.71456761009988,0.705268663982624
"Regressor_10","Regressor_17","BostonHousing",0.911282562613538,0.866249360104107,0.544331697303486,0.679833857448789
"Regressor_10","Regressor_18","BostonHousing",0.92204890792014,0.971092092126052,0.763041025988726,0.684678571913099
"Regressor_10","Regressor_19","BostonHousing",0.910841509570534,0.847062772695637,0.643390968442943,0.653245613164678
"Regressor_10","Regressor_2","BostonHousing",0.795266420632884,0.867050858228902,0.270912072489028,0.792260861825035
"Regressor_10","Regressor_20","BostonHousing",0.865798152783941,0.95651004983955,0.744210705064017,0.701625627239396
"Regressor_10","Regressor_21","BostonHousing",0.909446303478205,0.840967844123691,0.752401080555258,0.693510825107718
"Regressor_10","Regressor_22","BostonHousing",0.795310135926132,0.894536395893013,0.683426387119645,0.814562408542799
"Regressor_10","Regressor_23","BostonHousing",0.932624518755414,0.856374098920961,0.807487483530828,0.792970703646456
"Regressor_10","Regressor_24","BostonHousing",0.932672527605324,0.967690327519112,0.809086071473237,0.782602380615413
"Regressor_10","Regressor_25","BostonHousing",0.926762867734062,0.767008491999033,0.6597824803336,0.710655656983219
"Regressor_10","Regressor_26","BostonHousing",0.942853964437022,0.893676452846455,0.493584967473406,0.673537734688166
"Regressor_10","Regressor_27","BostonHousing",0.933501953337158,0.926943182890327,0.624081415929906,0.697365849757525
"Regressor_10","Regressor_28","BostonHousing",0.862780144203066,0.911706451143553,0.83867199596327,0.636748121361178
"Regressor_10","Regressor_29","BostonHousing",0.842440240453278,0.805830357770354,0.734862087513818,0.812957055683497
"Regressor_10","Regressor_3","BostonHousing",0.825289481755117,0.958594391789,0.788478888571298,0.781180928377868
"Regressor_10","Regressor_30","BostonHousing",0.831752702831085,0.86418356119025,0.688587837013552,0.845273105595922
"Regressor_10","Regressor_31","BostonHousing",0.969942771843904,0.933028164331927,0.819554245406459,0.649697827466058
"Regressor_10","Regressor_32","BostonHousing",0.781998838979511,0.851030926693368,0.535930923273861,0.703762666910928
"Regressor_10","Regressor_33","BostonHousing",0.922518532733528,0.952010796256951,0.732688585824052,0.714688571774226
"Regressor_10","Regressor_34","BostonHousing",0.947378549732668,0.887975698094704,0.853462682336303,0.781845744949801
"Regressor_10","Regressor_35","BostonHousing",0.90025121326667,0.927649121064961,0.582478161201827,0.691163928127853
"Regressor_10","Regressor_36","BostonHousing",0.922835055745275,0.88020615499852,0.850028615259466,0.725047898970574
"Regressor_10","Regressor_4","BostonHousing",0.928031922171575,0.926773925602786,0.722859799223856,0.863748040838396
"Regressor_10","Regressor_5","BostonHousing",0.918949262238985,0.767672424705347,0.68399265112197,0.87478461139763
"Regressor_10","Regressor_6","BostonHousing",0.907980398334329,0.945753830143087,0.674880868561877,0.759040666832117
"Regressor_10","Regressor_7","BostonHousing",0.952358247062222,0.847409506830546,0.768940184685274,0.634239645880819
"Regressor_10","Regressor_8","BostonHousing",0.849986658592839,0.963642971075724,0.817694809782622,0.626442242675913
"Regressor_10","Regressor_9","BostonHousing",0.922854224619772,0.867655159988599,0.685735178975545,0.724891241556278
"Regressor_11","Regressor_1","BostonHousing",0.920817821855091,0.756223596092044,0.67507582489288,0.73037647356436
"Regressor_11","Regressor_10","BostonHousing",0.866102907916136,0.817336564708275,0.46953441580781,0.697934705603465
"Regressor_11","Regressor_12","BostonHousing",0.932499673690591,0.91851130404954,0.654898546982125,0.84606710429814
"Regressor_11","Regressor_13","BostonHousing",0.935000922949286,0.794938736982301,0.317700840324161,0.501793862611438
"Regressor_11","Regressor_14","BostonHousing",0.862010412542115,0.891812396384507,0.635041472394399,0.831951145127702
"Regressor_11","Regressor_15","BostonHousing",0.823579874817363,0.792002376489351,0.799479562971182,0.586645611894118
"Regressor_11","Regressor_16","BostonHousing",0.948014671681752,0.801629317186592,0.73585877470151,0.952043854021374
"Regressor_11","Regressor_17","BostonHousing",0.839999720401221,0.86961807193805,0.607239052193953,0.965491892481343
"Regressor_11","Regressor_18","BostonHousing",0.835719320302457,0.781673060258886,0.737309686744078,0.754755590235476
"Regressor_11","Regressor_19","BostonHousing",0.814964604303238,0.889311663935208,0.729923237865882,0.955095500549143
"Regressor_11","Regressor_2","BostonHousing",0.910238674227275,0.924242703626409,0.404190590511447,0.824341215961072
"Regressor_11","Regressor_20","BostonHousing",0.913823000315799,0.815296124786484,0.479428571940881,0.624218204250544
"Regressor_11","Regressor_21","BostonHousing",0.822318610732197,0.868246051132516,0.759156666041513,0.924730496027565
"Regressor_11","Regressor_22","BostonHousing",0.912871547283536,0.917115449946403,0.666277502436925,0.843187169986939
"Regressor_11","Regressor_23","BostonHousing",0.865842430400619,0.769319964476994,0.574549046612949,0.549942184560367
"Regressor_11","Regressor_24","BostonHousing",0.87097254462937,0.769525352822605,0.57262630146096,0.786410676335156
"Regressor_11","Regressor_25","BostonHousing",0.859010795642177,0.851325073539184,0.661162221092018,0.946648845423258
"Regressor_11","Regressor_26","BostonHousing",0.838218888101204,0.874163696196838,0.778109818688945,0.958194113296863
"Regressor_11","Regressor_27","BostonHousing",0.874001473627906,0.793294614815971,0.705359162921116,0.778565877998654
"Regressor_11","Regressor_28","BostonHousing",0.932808802814246,0.87252300527168,0.470639924699962,0.723670848152721
"Regressor_11","Regressor_29","BostonHousing",0.930081102308974,0.684943189673899,0.589745247150263,0.750510651200801
"Regressor_11","Regressor_3","BostonHousing",0.95896075562027,0.789610901757756,0.637092877374662,0.834187834566684
"Regressor_11","Regressor_30","BostonHousing",0.925645451967246,0.899157314264845,0.640757880511297,0.591156420317451
"Regressor_11","Regressor_31","BostonHousing",0.844669558133834,0.72553327068178,0.56980699422136,0.889979128058018
"Regressor_11","Regressor_32","BostonHousing",0.899054817309514,0.870529011799212,0.553788233963898,0.957074863892225
"Regressor_11","Regressor_33","BostonHousing",0.888149712585896,0.817876386657948,0.717483986899619,0.783933716681725
"Regressor_11","Regressor_34","BostonHousing",0.872811437760632,0.893152292341078,0.529010956794881,0.879048502681792
"Regressor_11","Regressor_35","BostonHousing",0.84919841740944,0.788454800708632,0.706236051959338,0.788378395227281
"Regressor_11","Regressor_36","BostonHousing",0.834879005618471,0.912262544460817,0.682631978293533,0.894642834702327
"Regressor_11","Regressor_4","BostonHousing",0.809138597203535,0.746877728445198,0.713909331398921,0.583006794032002
"Regressor_11","Regressor_5","BostonHousing",0.849423735881964,0.73823371358219,0.78792698537454,0.796341826601184
"Regressor_11","Regressor_6","BostonHousing",0.839931817833578,0.786791917121543,0.650337375325996,0.836596992382476
"Regressor_11","Regressor_7","BostonHousing",0.880176293063156,0.919292837535031,0.7107841171976,0.650388024483164
"Regressor_11","Regressor_8","BostonHousing",0.915767248402018,0.814278036342507,0.52734155312492,0.882701579774623
"Regressor_11","Regressor_9","BostonHousing",0.848094678503342,0.710348520873264,0.589125577738346,0.928701115375396
"Regressor_12","Regressor_1","BostonHousing",0.948286762615106,0.833745506973939,0.820804722230963,0.768940834682724
"Regressor_12","Regressor_10","BostonHousing",0.8304074908766,0.892459538886246,0.791886719526909,0.800707877619767
"Regressor_12","Regressor_11","BostonHousing",0.932499673690591,0.91851130404954,0.654898546982125,0.84606710429814
"Regressor_12","Regressor_13","BostonHousing",0.936690509158775,0.804881060930497,0.51560704444464,0.618947473681765
"Regressor_12","Regressor_14","BostonHousing",0.849109334715652,0.958071158167981,0.716050439269126,0.718905336804791
"Regressor_12","Regressor_15","BostonHousing",0.862492137172981,0.779198113454161,0.781745145131559,0.765646769174322
"Regressor_12","Regressor_16","BostonHousing",0.923505624378722,0.850311917554123,0.863086725409582,0.880876214800605
"Regressor_12","Regressor_17","BostonHousing",0.851816549435086,0.93034135567506,0.733305777567324,0.845260598317483
"Regressor_12","Regressor_18","BostonHousing",0.887137179588475,0.854427117959387,0.870348521503948,0.77087519666038
"Regressor_12","Regressor_19","BostonHousing",0.83200236249855,0.921016117453385,0.806046596310482,0.858978709952668
"Regressor_12","Regressor_2","BostonHousing",0.943474042631645,0.957325117416107,0.446277487951775,0.924934150507662
"Regressor_12","Regressor_20","BostonHousing",0.895846750116679,0.852737949376234,0.729594228047537,0.722794879776379
"Regressor_12","Regressor_21","BostonHousing",0.867017531834853,0.92603050985378,0.802994566229974,0.863993807013286
"Regressor_12","Regressor_22","BostonHousing",0.93810739753381,0.984166960073507,0.802096069353144,0.935002966527212
"Regressor_12","Regressor_23","BostonHousing",0.859702032706902,0.761440525545965,0.785653462095958,0.676240051206502
"Regressor_12","Regressor_24","BostonHousing",0.858732734395255,0.855246675798459,0.809968077105007,0.816763509018452
"Regressor_12","Regressor_25","BostonHousing",0.878229489496819,0.839056288365044,0.791799853799335,0.821055197220975
"Regressor_12","Regressor_26","BostonHousing",0.855939784358316,0.959080832308192,0.696396670080281,0.829039222693976
"Regressor_12","Regressor_27","BostonHousing",0.854191045286666,0.814765905215998,0.760535503552254,0.88340158037389
"Regressor_12","Regressor_28","BostonHousing",0.914955338617412,0.945406288534829,0.780572110635863,0.838422150241593
"Regressor_12","Regressor_29","BostonHousing",0.922491660734756,0.732945731020984,0.821514708856914,0.814897006054536
"Regressor_12","Regressor_3","BostonHousing",0.924412637362217,0.864379099268778,0.849224074119422,0.943327207739406
"Regressor_12","Regressor_30","BostonHousing",0.94508755267035,0.937795789667991,0.805405437368224,0.658566364840596
"Regressor_12","Regressor_31","BostonHousing",0.826101721681452,0.793542904293895,0.80956391646602,0.735370701547628
"Regressor_12","Regressor_32","BostonHousing",0.926583610303803,0.916691832356656,0.574349410474725,0.840640936727254
"Regressor_12","Regressor_33","BostonHousing",0.816992810341672,0.858110664255445,0.833558076152281,0.884071016839772
"Regressor_12","Regressor_34","BostonHousing",0.866962411809727,0.948915250062673,0.741007126888335,0.91336893636342
"Regressor_12","Regressor_35","BostonHousing",0.865167262821534,0.855882337103568,0.78288460536034,0.692693009163562
"Regressor_12","Regressor_36","BostonHousing",0.877650939283686,0.953337047238337,0.910166247321187,0.74628564929027
"Regressor_12","Regressor_4","BostonHousing",0.833491045575905,0.843392632321977,0.840418234143124,0.697495207461404
"Regressor_12","Regressor_5","BostonHousing",0.861607172949321,0.783432441136623,0.779202349962161,0.849677275314494
"Regressor_12","Regressor_6","BostonHousing",0.836478903439595,0.836200608490366,0.80864186175181,0.931193335490101
"Regressor_12","Regressor_7","BostonHousing",0.870989122597919,0.942221444395427,0.766610308727883,0.748192864777334
"Regressor_12","Regressor_8","BostonHousing",0.937560278344427,0.877652565044349,0.758886122562918,0.703559426624536
"Regressor_12","Regressor_9","BostonHousing",0.894091992370311,0.780039231292695,0.816821901105174,0.813362625709457
