"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_1","Regressor_10","concrete",0.901952443064666,0.797271475810837,0.795153392588345,0.603975922185031
"Regressor_1","Regressor_11","concrete",0.855585614209395,0.794722440828931,0.55587967040261,0.601868161001694
"Regressor_1","Regressor_12","concrete",0.858978338292108,0.90443102542435,0.824172354266465,0.670188710679834
"Regressor_1","Regressor_13","concrete",0.893461721333746,0.807507967564766,0.553209676791055,0.7075294435987
"Regressor_1","Regressor_14","concrete",0.801845301744938,0.880146808006814,0.562196856471341,0.791096403839578
"Regressor_1","Regressor_15","concrete",0.8851540333247,0.709397376359432,0.513684931998785,0.623024715196151
"Regressor_1","Regressor_16","concrete",0.833696217884281,0.876421961031624,0.638363720581602,0.808034867131664
"Regressor_1","Regressor_17","concrete",0.830001939899649,0.734823116034961,0.570090997604401,0.641304490091354
"Regressor_1","Regressor_18","concrete",0.876247845033189,0.850169103453225,0.731188528290397,0.822024924706155
"Regressor_1","Regressor_19","concrete",0.872984336818997,0.698393105262527,0.630142173816632,0.833328753593837
"Regressor_1","Regressor_2","concrete",0.844342440393016,0.796151417993367,0.738904849538073,0.560508142098532
"Regressor_1","Regressor_20","concrete",0.834527037455881,0.846358967941008,0.615765497423413,0.575097915683843
"Regressor_1","Regressor_21","concrete",0.85921556343854,0.714980782529643,0.46927811893732,0.765440272282429
"Regressor_1","Regressor_22","concrete",0.855146281031884,0.840975441659479,0.641905646463268,0.751500107142521
"Regressor_1","Regressor_23","concrete",0.863226414475084,0.661639596499301,0.303400302802365,0.689713504223631
"Regressor_1","Regressor_24","concrete",0.806370735346583,0.856398775673654,0.633024726343094,0.748709974144101
"Regressor_1","Regressor_25","concrete",0.848696484194096,0.818613896112401,0.582373051793581,0.615379536576704
"Regressor_1","Regressor_26","concrete",0.800368742922568,0.873459079807548,0.620759951552175,0.519502050219945
"Regressor_1","Regressor_27","concrete",0.796010013554864,0.728477753151401,0.484602264722989,0.73522055772516
"Regressor_1","Regressor_28","concrete",0.825472164748503,0.872849205727249,0.658902861482898,0.779449374989725
"Regressor_1","Regressor_29","concrete",0.809721128512587,0.798455315828552,0.519507838639615,0.563786147885198
"Regressor_1","Regressor_3","concrete",0.812624440569613,0.812485053542147,0.610253238197168,0.706784166215601
"Regressor_1","Regressor_30","concrete",0.83385117000354,0.740479450338019,0.758069687992534,0.820462947135162
"Regressor_1","Regressor_31","concrete",0.862088819246878,0.788702494860298,0.690636230238466,0.815898098075882
"Regressor_1","Regressor_32","concrete",0.806627017191537,0.853977685913861,0.663594419851714,0.783668465104604
"Regressor_1","Regressor_33","concrete",0.859995035478594,0.759743617885434,0.543935196209798,0.744473026503859
"Regressor_1","Regressor_34","concrete",0.830564717065945,0.861233471495934,0.56354700423703,0.782153686486262
"Regressor_1","Regressor_35","concrete",0.908499146287615,0.766372519510685,0.528683465594671,0.613918719383803
"Regressor_1","Regressor_36","concrete",0.828160639556266,0.847706171008824,0.798153272277653,0.751509506679993
"Regressor_1","Regressor_4","concrete",0.877296508023931,0.830513612321345,0.65689626531926,0.813652926595623
"Regressor_1","Regressor_5","concrete",0.91989197160955,0.751307144712874,0.534243380020689,0.815886189694321
"Regressor_1","Regressor_6","concrete",0.81822756657625,0.827352957248349,0.713686472024809,0.80933935580441
"Regressor_1","Regressor_7","concrete",0.852064058527462,0.713558280404169,0.55155317146852,0.790980255047827
"Regressor_1","Regressor_8","concrete",0.777432686893049,0.860443794251904,0.63503870417894,0.753497698969638
"Regressor_1","Regressor_9","concrete",0.813490901550377,0.777690174505372,0.603068194343063,0.841700381752966
"Regressor_10","Regressor_1","concrete",0.901952443064666,0.797271475810837,0.795153392588345,0.603975922185031
"Regressor_10","Regressor_11","concrete",0.832692857897863,0.658152163089038,0.464474759576492,0.785930141950049
"Regressor_10","Regressor_12","concrete",0.824055244835991,0.800088516359864,0.783024622245793,0.416508573836675
"Regressor_10","Regressor_13","concrete",0.866118932423156,0.771720401094424,0.541900727040999,0.447450029338758
"Regressor_10","Regressor_14","concrete",0.796954831671654,0.748858548730063,0.467126975046351,0.625985060291071
"Regressor_10","Regressor_15","concrete",0.877314443694936,0.833259793630108,0.467188358881506,0.75221011338939
"Regressor_10","Regressor_16","concrete",0.798509441959962,0.819425714001965,0.567496133274249,0.60170780532241
"Regressor_10","Regressor_17","concrete",0.822759313757099,0.688528713190014,0.480938792766603,0.708893189375472
"Regressor_10","Regressor_18","concrete",0.901535204583264,0.786675201603566,0.726192462204618,0.612882027560048
"Regressor_10","Regressor_19","concrete",0.86241684021372,0.764925168640852,0.525135157854578,0.592955852582142
"Regressor_10","Regressor_2","concrete",0.857260318058452,0.854889877543413,0.724248128254877,0.741266449178618
"Regressor_10","Regressor_20","concrete",0.822355623721292,0.777310364669789,0.538676266215833,0.659585833440201
"Regressor_10","Regressor_21","concrete",0.836033029269697,0.806576761622152,0.542861970116034,0.606626800995048
"Regressor_10","Regressor_22","concrete",0.829254346164479,0.857955787403922,0.475134371936335,0.443481467572422
"Regressor_10","Regressor_23","concrete",0.872763240747667,0.661108310993196,0.19746095430777,0.386200700126733
"Regressor_10","Regressor_24","concrete",0.79706085408515,0.797701497237968,0.605052553596601,0.422092264809609
"Regressor_10","Regressor_25","concrete",0.824535227906063,0.772380835240084,0.534814229986676,0.747237332977125
"Regressor_10","Regressor_26","concrete",0.790733464523667,0.771310036419874,0.549026743310882,0.725769882117936
"Regressor_10","Regressor_27","concrete",0.851144230176121,0.841907211029555,0.420680099322276,0.516066089140719
"Regressor_10","Regressor_28","concrete",0.806659987343631,0.805679790992407,0.594250984261499,0.550242249369158
"Regressor_10","Regressor_29","concrete",0.802795816380149,0.710356553862128,0.546686467688111,0.705123321093775
"Regressor_10","Regressor_3","concrete",0.81181233060212,0.701164081995491,0.561984417591374,0.558842410702388
"Regressor_10","Regressor_30","concrete",0.825757192180043,0.837919340665399,0.742600623462862,0.545728240641191
"Regressor_10","Regressor_31","concrete",0.83376673232777,0.760491999675417,0.735634073468411,0.529075309003837
"Regressor_10","Regressor_32","concrete",0.819440123185536,0.806846431253068,0.611387070576231,0.564014051927921
"Regressor_10","Regressor_33","concrete",0.845249968617492,0.775055045881411,0.607086686473472,0.445143581060286
"Regressor_10","Regressor_34","concrete",0.830090259521734,0.830498686728521,0.417931994057929,0.535059103581747
"Regressor_10","Regressor_35","concrete",0.901048368479986,0.778133486855124,0.628088499573897,0.788372031507127
"Regressor_10","Regressor_36","concrete",0.812981090586275,0.771398775605049,0.799945315016763,0.529795849124244
"Regressor_10","Regressor_4","concrete",0.857155627842533,0.832830559069531,0.549805360410369,0.610128518260354
"Regressor_10","Regressor_5","concrete",0.855329772041501,0.755371749293398,0.584767804348685,0.508724210425226
"Regressor_10","Regressor_6","concrete",0.820409867213923,0.905997191154078,0.60372137714319,0.501054701712
"Regressor_10","Regressor_7","concrete",0.888055894929937,0.690618754547755,0.583830380655276,0.524923782560933
"Regressor_10","Regressor_8","concrete",0.774826983395098,0.874721230784127,0.560646216048451,0.549799318437012
"Regressor_10","Regressor_9","concrete",0.753773515855138,0.753522334117194,0.614570413156444,0.625991130868062
"Regressor_11","Regressor_1","concrete",0.855585614209395,0.794722440828931,0.55587967040261,0.601868161001694
"Regressor_11","Regressor_10","concrete",0.832692857897863,0.658152163089038,0.464474759576492,0.785930141950049
"Regressor_11","Regressor_12","concrete",0.898875787482093,0.780065127969327,0.549804122847035,0.367717566462775
"Regressor_11","Regressor_13","concrete",0.818923378275763,0.790013719096423,0.384001696318876,0.491909318947301
"Regressor_11","Regressor_14","concrete",0.859326748914376,0.760951552775138,0.789137952562874,0.62654745873152
"Regressor_11","Regressor_15","concrete",0.822618648197701,0.722015621115204,0.640041297750462,0.844613959630595
"Regressor_11","Regressor_16","concrete",0.872729847265836,0.788403884791127,0.719802708471613,0.616304555497837
"Regressor_11","Regressor_17","concrete",0.803736753992336,0.677370527563092,0.684499853844362,0.80530735444013
"Regressor_11","Regressor_18","concrete",0.811477143827454,0.737231172411333,0.587388445127374,0.610575642734608
"Regressor_11","Regressor_19","concrete",0.796081253437257,0.703767992537272,0.730937513638305,0.630128950268394
"Regressor_11","Regressor_2","concrete",0.842121956854488,0.697167581928199,0.609455138009606,0.786647366843236
"Regressor_11","Regressor_20","concrete",0.893008218850904,0.730581232666803,0.785550883251286,0.762533784463558
"Regressor_11","Regressor_21","concrete",0.877626382835726,0.71420869879985,0.453040100854974,0.505142625746477
"Regressor_11","Regressor_22","concrete",0.789643940847069,0.72378795629702,0.740174384021278,0.501915762588617
"Regressor_11","Regressor_23","concrete",0.792735725386727,0.720953927108056,0.523777164901576,0.374062460769514
"Regressor_11","Regressor_24","concrete",0.843404285605756,0.767555868135877,0.789666338008767,0.50671887449675
"Regressor_11","Regressor_25","concrete",0.890125312115245,0.816538501926275,0.616407225191235,0.772376198867572
"Regressor_11","Regressor_26","concrete",0.816115926615403,0.758107609500427,0.693441017311714,0.772366013559992
"Regressor_11","Regressor_27","concrete",0.846683695093734,0.699109981399786,0.640883401098378,0.534489962701074
