"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_1","Regressor_10","Carets",0.307692307692308,0.256410256410256,0.384615384615385,0.282051282051282
"Regressor_1","Regressor_11","Carets",0.230769230769231,0.358974358974359,0.333333333333333,0.358974358974359
"Regressor_1","Regressor_12","Carets",0.333333333333333,0.307692307692308,0.282051282051282,0.384615384615385
"Regressor_1","Regressor_13","Carets",0.307692307692308,0.487179487179487,0.41025641025641,0.358974358974359
"Regressor_1","Regressor_14","Carets",0.333333333333333,0.256410256410256,0.307692307692308,0.512820512820513
"Regressor_1","Regressor_15","Carets",0.205128205128205,0.512820512820513,0.256410256410256,0.512820512820513
"Regressor_1","Regressor_16","Carets",0.256410256410256,0.256410256410256,0.282051282051282,0.435897435897436
"Regressor_1","Regressor_17","Carets",0.282051282051282,0.384615384615385,0.461538461538462,0.461538461538462
"Regressor_1","Regressor_18","Carets",0.205128205128205,0.358974358974359,0.384615384615385,0.538461538461538
"Regressor_1","Regressor_19","Carets",0.256410256410256,0.358974358974359,0.384615384615385,0.564102564102564
"Regressor_1","Regressor_2","Carets",0.128205128205128,0.307692307692308,0.435897435897436,0.512820512820513
"Regressor_1","Regressor_20","Carets",0.153846153846154,0.256410256410256,0.41025641025641,0.538461538461538
"Regressor_1","Regressor_21","Carets",0.205128205128205,0.538461538461538,0.435897435897436,0.41025641025641
"Regressor_1","Regressor_22","Carets",0.230769230769231,0.282051282051282,0.358974358974359,0.435897435897436
"Regressor_1","Regressor_23","Carets",0.205128205128205,0.41025641025641,0.538461538461538,0.512820512820513
"Regressor_1","Regressor_24","Carets",0.333333333333333,0.333333333333333,0.333333333333333,0.384615384615385
"Regressor_1","Regressor_25","Carets",0.128205128205128,0.512820512820513,0.487179487179487,0.538461538461538
"Regressor_1","Regressor_26","Carets",0.256410256410256,0.358974358974359,0.230769230769231,0.512820512820513
"Regressor_1","Regressor_27","Carets",0.282051282051282,0.41025641025641,0.358974358974359,0.41025641025641
"Regressor_1","Regressor_28","Carets",0.282051282051282,0.307692307692308,0.358974358974359,0.435897435897436
"Regressor_1","Regressor_29","Carets",0.256410256410256,0.282051282051282,0.333333333333333,0.435897435897436
"Regressor_1","Regressor_3","Carets",0.0769230769230769,0.307692307692308,0.41025641025641,0.435897435897436
"Regressor_1","Regressor_30","Carets",0.307692307692308,0.256410256410256,0.358974358974359,0.358974358974359
"Regressor_1","Regressor_31","Carets",0.230769230769231,0.538461538461538,0.282051282051282,0.435897435897436
"Regressor_1","Regressor_32","Carets",0.256410256410256,0.461538461538462,0.333333333333333,0.58974358974359
"Regressor_1","Regressor_33","Carets",0.153846153846154,0.256410256410256,0.333333333333333,0.358974358974359
