"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_1","Regressor_10","Hitters",0.25,0.208333333333333,0.416666666666667,0.25
"Regressor_1","Regressor_11","Hitters",0.208333333333333,0.166666666666667,0.416666666666667,0.25
"Regressor_1","Regressor_12","Hitters",0.166666666666667,0.0416666666666667,0.333333333333333,0.291666666666667
"Regressor_1","Regressor_13","Hitters",0.25,0.333333333333333,0.583333333333333,0.291666666666667
"Regressor_1","Regressor_14","Hitters",0.25,0.25,0.333333333333333,0.125
"Regressor_1","Regressor_15","Hitters",0.208333333333333,0.166666666666667,0.416666666666667,0.25
"Regressor_1","Regressor_16","Hitters",0.25,0.208333333333333,0.291666666666667,0.25
"Regressor_1","Regressor_17","Hitters",0.333333333333333,0.166666666666667,0.333333333333333,0.125
"Regressor_1","Regressor_18","Hitters",0.25,0.125,0.375,0.291666666666667
"Regressor_1","Regressor_19","Hitters",0.208333333333333,0.25,0.375,0.25
"Regressor_1","Regressor_2","Hitters",0.166666666666667,0.25,0.333333333333333,0.125
"Regressor_1","Regressor_20","Hitters",0.166666666666667,0.0416666666666667,0.166666666666667,0.166666666666667
"Regressor_1","Regressor_21","Hitters",0.25,0.291666666666667,0.458333333333333,0.291666666666667
"Regressor_1","Regressor_22","Hitters",0.208333333333333,0.208333333333333,0.333333333333333,0.416666666666667
"Regressor_1","Regressor_23","Hitters",0.166666666666667,0.25,0.416666666666667,0.291666666666667
"Regressor_1","Regressor_24","Hitters",0.125,0.125,0.375,0.291666666666667
"Regressor_1","Regressor_25","Hitters",0.0833333333333333,0.291666666666667,0.333333333333333,0.125
"Regressor_1","Regressor_26","Hitters",0.291666666666667,0.166666666666667,0.333333333333333,0.291666666666667
"Regressor_1","Regressor_27","Hitters",0.166666666666667,0.208333333333333,0.333333333333333,0.208333333333333
"Regressor_1","Regressor_28","Hitters",0.166666666666667,0.166666666666667,0.333333333333333,0.0833333333333333
"Regressor_1","Regressor_29","Hitters",0.166666666666667,0.291666666666667,0.375,0.291666666666667
"Regressor_1","Regressor_3","Hitters",0.333333333333333,0.0416666666666667,0.333333333333333,0.208333333333333
"Regressor_1","Regressor_30","Hitters",0.125,0.0416666666666667,0.291666666666667,0.125
"Regressor_1","Regressor_31","Hitters",0.291666666666667,0.333333333333333,0.375,0.208333333333333
"Regressor_1","Regressor_32","Hitters",0.166666666666667,0.25,0.208333333333333,0.208333333333333
