"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_1","Regressor_10","concrete",0.05,0.13,0.13,0.33
"Regressor_1","Regressor_11","concrete",0.06,0.09,0.39,0.23
"Regressor_1","Regressor_12","concrete",0.06,0.05,0.13,0.28
"Regressor_1","Regressor_13","concrete",0.03,0.11,0.3,0.19
"Regressor_1","Regressor_14","concrete",0.09,0.09,0.34,0.16
"Regressor_1","Regressor_15","concrete",0.04,0.13,0.4,0.21
"Regressor_1","Regressor_16","concrete",0.09,0.08,0.35,0.14
"Regressor_1","Regressor_17","concrete",0.09,0.11,0.32,0.23
"Regressor_1","Regressor_18","concrete",0.06,0.09,0.21,0.11
"Regressor_1","Regressor_19","concrete",0.08,0.18,0.36,0.12
"Regressor_1","Regressor_2","concrete",0.11,0.12,0.17,0.32
"Regressor_1","Regressor_20","concrete",0.07,0.1,0.31,0.27
"Regressor_1","Regressor_21","concrete",0.08,0.15,0.35,0.16
"Regressor_1","Regressor_22","concrete",0.06,0.07,0.22,0.19
"Regressor_1","Regressor_23","concrete",0.08,0.21,0.44,0.18
"Regressor_1","Regressor_24","concrete",0.11,0.09,0.22,0.16
"Regressor_1","Regressor_25","concrete",0.07,0.1,0.39,0.24
"Regressor_1","Regressor_26","concrete",0.09,0.07,0.29,0.33
"Regressor_1","Regressor_27","concrete",0.12,0.18,0.4,0.19
"Regressor_1","Regressor_28","concrete",0.08,0.07,0.3,0.2
"Regressor_1","Regressor_29","concrete",0.1,0.11,0.29,0.25
"Regressor_1","Regressor_3","concrete",0.09,0.12,0.31,0.22
"Regressor_1","Regressor_30","concrete",0.11,0.19,0.17,0.13
"Regressor_1","Regressor_31","concrete",0.04,0.11,0.22,0.13
"Regressor_1","Regressor_32","concrete",0.09,0.11,0.33,0.19
"Regressor_1","Regressor_33","concrete",0.09,0.12,0.27,0.13
"Regressor_1","Regressor_34","concrete",0.09,0.11,0.37,0.14
"Regressor_1","Regressor_35","concrete",0.05,0.11,0.31,0.29
"Regressor_1","Regressor_36","concrete",0.07,0.09,0.16,0.2
"Regressor_1","Regressor_4","concrete",0.07,0.13,0.26,0.14
"Regressor_1","Regressor_5","concrete",0.03,0.12,0.35,0.13
"Regressor_1","Regressor_6","concrete",0.1,0.09,0.3,0.14
"Regressor_1","Regressor_7","concrete",0.08,0.13,0.29,0.13
"Regressor_1","Regressor_8","concrete",0.11,0.08,0.27,0.18
"Regressor_1","Regressor_9","concrete",0.08,0.09,0.39,0.1
"Regressor_10","Regressor_1","concrete",0.06,0.12,0.12,0.34
"Regressor_10","Regressor_11","concrete",0.09,0.15,0.42,0.14
"Regressor_10","Regressor_12","concrete",0.09,0.11,0.14,0.46
"Regressor_10","Regressor_13","concrete",0.09,0.13,0.27,0.35
"Regressor_10","Regressor_14","concrete",0.09,0.16,0.37,0.31
"Regressor_10","Regressor_15","concrete",0.08,0.08,0.42,0.14
"Regressor_10","Regressor_16","concrete",0.1,0.08,0.39,0.31
"Regressor_10","Regressor_17","concrete",0.12,0.12,0.31,0.24
"Regressor_10","Regressor_18","concrete",0.07,0.1,0.17,0.3
