BOS;BAG;BRA;RSS
8,574629286;8,149953661;6,50262975;4,762030816
6,838003939;8,421316033;5,5057924;4,625330167
8,537216172;7,820389249;6,316085496;4,400347061
6,813009731;8,692863763;6,729297961;4,648459222
8,466241891;8,785356812;5,602710843;4,694028035
6,68839203;8,71918443;8,634487952;4,817475672
8,772642493;7,432993513;6,338716404;3,963113994
6,455079935;7,873772011;6,088096617;4,881278962
7,822607739;7,227618165;5,089573679;4,298638786
7,076813021;7,662835959;4,964787998;3,736764365
8,287169833;7,494717331;5,544230769;4,708393188
7,451778267;8,873401297;7,186416821;5,062442076
7,425863068;9,269694161;7,051789852;3,881620714
8,295163346;8,564967563;5,149109212;4,71790431
8,130363763;7,513253012;6,543651529;5,076897011
7,963270389;7,824837813;5,943280816;3,655311631
7,882848703;8,493234476;6,383787071;5,665494671
8,205207368;8,399258573;5,67717215;4,524901529
7,686567424;7,444485635;5,951702966;5,674148517
7,632669138;7,794253939;6,450069509;4,485437905
8,55772127;8,203336423;5,391679313;3,825613994
7,903533364;8,362001854;5,020203892;4,487809893
8,330919833;8,647265987;6,365222428;4,620904773
6,754604958;8,406858202;5,344867933;4,423656163
8,545337118;8,106580167;5,882979611;4,678168443
7,951894115;7,666728452;6,485857854;5,013183503
8,259088276;8,820574606;6,503510195;4,485947637
7,89782785;8,782761816;4,478921455;5,233739077
8,007854495;7,848007414;5,952566033;5,216711075
7,706869787;8,12326228;5,866716867;5,508908712
9,088183503;8,768860056;5,224386006;4,942829008
6,975689296;8,660982391;6,033323679;4,568993281
8,338061863;8,813716404;6,634910797;4,344045412
7,00101367;8,427432808;4,267689991;5,09765987
7,71415373;9,092307692;6,1956557;3,840616311
8,574629286;8,149953661;6,50262975;4,762030816
4,975880445;7,871883689;4,713531047;5,854998842
9,178104727;7,946623031;6,390697405;5,981057403
6,367979611;7,978376969;6,936167748;5,248158017
8,57618165;8,392869555;5,730722892;6,20622683
6,652548656;7,985629055;6,467771084;7,07425278
8,5168443;8,106116775;6,056672845;6,201668211
6,614341983;6,891682113;5,852235867;7,069230769
7,901598703;7,213113994;5,52094532;6,619873726
