BOS;BAG;BRA;RSS
0,125;0,120192308;0,161057692;0,194711538
0,158653846;0,098557692;0,230769231;0,213942308
0,112980769;0,098557692;0,180288462;0,21875
0,146634615;0,076923077;0,192307692;0,230769231
0,117788462;0,09375;0,209134615;0,199519231
0,158653846;0,086538462;0,139423077;0,25
0,09375;0,117788462;0,182692308;0,252403846
0,168269231;0,09375;0,225961538;0,199519231
0,117788462;0,108173077;0,192307692;0,209134615
0,173076923;0,105769231;0,233173077;0,276442308
0,110576923;0,098557692;0,21875;0,206730769
0,163461538;0,086538462;0,199519231;0,211538462
0,108173077;0,064903846;0,153846154;0,245192308
0,149038462;0,096153846;0,25;0,228365385
0,117788462;0,096153846;0,173076923;0,213942308
0,127403846;0,115384615;0,199519231;0,278846154
0,132211538;0,091346154;0,180288462;0,175480769
0,149038462;0,088942308;0,216346154;0,201923077
0,105769231;0,115384615;0,189903846;0,199519231
0,15625;0,105769231;0,21875;0,221153846
0,103365385;0,091346154;0,206730769;0,240384615
0,165865385;0,115384615;0,302884615;0,235576923
0,125;0,088942308;0,165865385;0,182692308
0,1875;0,100961538;0,201923077;0,204326923
0,117788462;0,088942308;0,233173077;0,204326923
0,161057692;0,132211538;0,173076923;0,199519231
0,098557692;0,086538462;0,168269231;0,213942308
0,158653846;0,074519231;0,262019231;0,201923077
0,112980769;0,100961538;0,206730769;0,180288462
0,165865385;0,108173077;0,197115385;0,204326923
0,120192308;0,103365385;0,228365385;0,192307692
0,144230769;0,096153846;0,209134615;0,201923077
0,096153846;0,096153846;0,1875;0,209134615
0,177884615;0,103365385;0,266826923;0,209134615
0,127403846;0,076923077;0,206730769;0,235576923
0,125;0,120192308;0,161057692;0,194711538
0,242788462;0,141826923;0,235576923;0,209134615
0,069711538;0,105769231;0,161057692;0,199519231
0,180288462;0,137019231;0,161057692;0,235576923
0,108173077;0,122596154;0,168269231;0,15625
0,161057692;0,127403846;0,216346154;0,213942308
0,09375;0,112980769;0,146634615;0,180288462
0,177884615;0,144230769;0,197115385;0,149038462
0,127403846;0,149038462;0,204326923;0,168269231
0,151442308;0,117788462;0,242788462;0,28125
0,112980769;0,132211538;0,235576923;0,170673077
0,146634615;0,129807692;0,173076923;0,151442308
0,125;0,115384615;0,15625;0,216346154
0,146634615;0,117788462;0,264423077;0,197115385
0,076923077;0,117788462;0,168269231;0,168269231
0,170673077;0,139423077;0,194711538;0,1875
0,117788462;0,091346154;0,158653846;0,194711538
0,173076923;0,137019231;0,21875;0,189903846
0,120192308;0,125;0,170673077;0,192307692
0,165865385;0,132211538;0,194711538;0,213942308
0,105769231;0,132211538;0,177884615;0,211538462
0,15625;0,117788462;0,290865385;0,189903846
0,120192308;0,120192308;0,168269231;0,149038462
0,170673077;0,132211538;0,213942308;0,180288462
0,09375;0,115384615;0,206730769;0,180288462
0,1875;0,112980769;0,206730769;0,201923077
0,103365385;0,100961538;0,158653846;0,137019231
0,168269231;0,117788462;0,225961538;0,245192308
0,098557692;0,120192308;0,199519231;0,146634615
0,149038462;0,100961538;0,182692308;0,221153846
0,103365385;0,096153846;0,247596154;0,158653846
0,158653846;0,100961538;0,189903846;0,173076923
0,108173077;0,103365385;0,194711538;0,168269231
0,149038462;0,127403846;0,266826923;0,211538462
0,105769231;0,117788462;0,189903846;0,1875
0,158653846;0,098557692;0,230769231;0,213942308
0,242788462;0,141826923;0,235576923;0,209134615
0,201923077;0,117788462;0,192307692;0,194711538
0,158653846;0,105769231;0,211538462;0,206730769
0,153846154;0,115384615;0,223557692;0,192307692
0,201923077;0,117788462;0,235576923;0,216346154
0,170673077;0,120192308;0,233173077;0,175480769
0,163461538;0,110576923;0,225961538;0,209134615
0,180288462;0,125;0,192307692;0,209134615
0,1875;0,105769231;0,245192308;0,262019231
0,158653846;0,129807692;0,235576923;0,165865385
0,173076923;0,110576923;0,194711538;0,213942308
0,153846154;0,096153846;0,170673077;0,177884615
0,194711538;0,098557692;0,242788462;0,247596154
0,1875;0,117788462;0,240384615;0,194711538
0,173076923;0,117788462;0,221153846;0,228365385
0,170673077;0,122596154;0,189903846;0,206730769
0,165865385;0,122596154;0,223557692;0,201923077
0,149038462;0,139423077;0,216346154;0,216346154
0,197115385;0,134615385;0,245192308;0,230769231
0,15625;0,110576923;0,242788462;0,228365385
0,168269231;0,120192308;0,262019231;0,225961538
0,161057692;0,112980769;0,201923077;0,209134615
0,177884615;0,096153846;0,242788462;0,182692308
0,175480769;0,103365385;0,264423077;0,228365385
0,1875;0,129807692;0,204326923;0,223557692
0,163461538;0,117788462;0,158653846;0,206730769
0,209134615;0,096153846;0,240384615;0,242788462
0,168269231;0,125;0,192307692;0,192307692
0,192307692;0,098557692;0,237980769;0,211538462
0,1875;0,129807692;0,228365385;0,180288462
0,161057692;0,103365385;0,233173077;0,257211538
0,149038462;0,098557692;0,21875;0,194711538
0,194711538;0,122596154;0,283653846;0,233173077
0,170673077;0,103365385;0,254807692;0,170673077
0,112980769;0,098557692;0,180288462;0,21875
0,069711538;0,105769231;0,161057692;0,199519231
0,201923077;0,117788462;0,192307692;0,194711538
0,199519231;0,103365385;0,192307692;0,233173077
0,105769231;0,112980769;0,170673077;0,163461538
0,163461538;0,100961538;0,216346154;0,213942308
0,069711538;0,117788462;0,185096154;0,211538462
0,182692308;0,086538462;0,137019231;0,197115385
0,074519231;0,122596154;0,177884615;0,144230769
0,185096154;0,105769231;0,25;0,295673077
0,103365385;0,100961538;0,225961538;0,189903846
0,161057692;0,105769231;0,211538462;0,201923077
0,103365385;0,088942308;0,15625;0,192307692
