BAG;RSS;BOS;BRA
0,743672147;0,465255902;0,743672147;0,61474691
0,788766767;0,446857905;0,788766767;0,492358327
0,762606416;0,457892606;0,762606416;0,569327132
0,827666629;0,454947449;0,827666629;0,599368361
0,823594124;0,505225582;0,823594124;0,515119378
0,796034452;0,446623598;0,796034452;0,691482431
0,699416036;0,401943935;0,699416036;0,615978228
0,77276446;0,480943992;0,77276446;0,548224113
0,713632482;0,449463045;0,713632482;0,475752154
0,747566826;0,338709707;0,747566826;0,426840728
0,74591379;0,488138077;0,74591379;0,499553342
0,805709897;0,498185291;0,805709897;0,625245515
0,844893725;0,39909225;0,844893725;0,645268315
0,794419249;0,43205625;0,794419249;0,434493465
0,766032059;0,51875542;0,766032059;0,585721659
0,748479772;0,373857948;0,748479772;0,571663112
0,796448128;0,570641883;0,796448128;0,588291246
0,807762574;0,462539863;0,807762574;0,53370122
0,732492028;0,554873928;0,732492028;0,581417435
0,747932377;0,422572412;0,747932377;0,560218972
0,788981639;0,394053824;0,788981639;0,500410338
0,77138262;0,450025431;0,77138262;0,402576062
0,80584585;0,502057674;0,80584585;0,617614184
0,792757297;0,455059108;0,792757297;0,490614654
0,782956218;0,463883203;0,782956218;0,514157998
0,707418863;0,504014132;0,707418863;0,594370819
0,818902176;0,467659666;0,818902176;0,611768725
0,805969944;0,522675846;0,805969944;0,379759841
0,764875453;0,523795803;0,764875453;0,526842433
0,775240407;0,519939445;0,775240407;0,571751862
0,800223345;0,51849731;0,800223345;0,475799046
0,786768684;0,459979728;0,786768684;0,555373377
0,796427162;0,446249422;0,796427162;0,613129791
0,759200636;0,469424944;0,759200636;0,359992932
0,837591675;0,411701992;0,837591675;0,560680392
0,743672147;0,465255902;0,743672147;0,61474691
0,714307555;0,508881717;0,714307555;0,444470753
0,750745319;0,559909709;0,750745319;0,607431761
0,735944495;0,462085605;0,735944495;0,651446874
0,762258445;0,600939326;0,762258445;0,555590036
0,706322546;0,590019055;0,706322546;0,546178454
0,738962882;0,565849284;0,738962882;0,620631076
0,655280853;0,626608617;0,655280853;0,555691534
0,689985781;0,622695991;0,689985781;0,544187002
0,721282919;0,401719147;0,721282919;0,432855882
0,693031018;0,541976787;0,693031018;0,417403161
0,704980013;0,68726818;0,704980013;0,637120524
0,756001926;0,553541392;0,756001926;0,62058694
0,743997692;0,620401424;0,743997692;0,418336021
0,718492819;0,612263188;0,718492819;0,55231853
0,690283797;0,61033302;0,690283797;0,578945975
0,784426407;0,494301695;0,784426407;0,587029269
0,729794272;0,595978109;0,729794272;0,490490746
0,735825702;0,553674401;0,735825702;0,585783618
0,69069185;0,514105172;0,69069185;0,58589958
0,71157455;0,551304536;0,71157455;0,516448746
0,739392307;0,554731932;0,739392307;0,401715981
0,740468942;0,614076526;0,740468942;0,606374828
0,707447411;0,565315865;0,707447411;0,503400722
0,725796973;0,623988691;0,725796973;0,541978975
0,754525948;0,550465043;0,754525948;0,544897776
0,784233673;0,64543978;0,784233673;0,585577353
0,74162359;0,422534477;0,74162359;0,406412904
0,719024883;0,663049056;0,719024883;0,584271887
0,761687003;0,512585119;0,761687003;0,579913786
0,783899421;0,625434537;0,783899421;0,449473771
0,799233079;0,550087931;0,799233079;0,545145316
0,774862201;0,567863081;0,774862201;0,542693011
0,738511318;0,559199638;0,738511318;0,356647502
0,758118511;0,511026469;0,758118511;0,562816812
0,788766767;0,446857905;0,788766767;0,492358327
0,714307555;0,508881717;0,714307555;0,444470753
0,708483827;0,509418852;0,708483827;0,497711958
0,771216981;0,518722372;0,771216981;0,495344273
0,769730155;0,527370283;0,769730155;0,486816812
0,760248424;0,556721817;0,760248424;0,451847158
0,72678457;0,546524781;0,72678457;0,450957695
0,734021714;0,476501674;0,734021714;0,497327612
0,679755844;0,462984411;0,679755844;0,535314137
0,741419311;0,449451422;0,741419311;0,444510362
0,711394223;0,613925442;0,711394223;0,450865123
0,766817694;0,527766753;0,766817694;0,516471182
0,800427959;0,555172201;0,800427959;0,580633535
0,795259249;0,498496723;0,795259249;0,468156596
0,727189838;0,530400793;0,727189838;0,472537321
0,758434041;0,51671154;0,758434041;0,48891582
0,742009321;0,527060189;0,742009321;0,50980757
0,71516864;0,5286742;0,71516864;0,513122408
0,68706146;0,490310281;0,68706146;0,499308881
0,730128203;0,454169309;0,730128203;0,495919218
0,742576396;0,471219603;0,742576396;0,42497355
0,733256712;0,524653582;0,733256712;0,421815143
0,780060614;0,538779193;0,780060614;0,516503835
0,800454588;0,573375304;0,800454588;0,42331043
0,766724725;0,482387991;0,766724725;0,426344804
0,750761125;0,513305952;0,750761125;0,520818806
0,764224111;0,533293485;0,764224111;0,620520659
0,786908734;0,428856485;0,786908734;0,46313393
0,741569512;0,547049665;0,741569512;0,546943835
0,796646825;0,494991455;0,796646825;0,497400383
0,733639568;0,557242152;0,733639568;0,501422423
0,788915948;0,433400205;0,788915948;0,457075574
0,793894529;0,532663324;0,793894529;0,504140358
0,778062789;0,450101919;0,778062789;0,31751647
0,787811384;0,635931613;0,787811384;0,449156439
0,762606416;0,457892606;0,762606416;0,569327132
0,750745319;0,559909709;0,750745319;0,607431761
0,708483827;0,509418852;0,708483827;0,497711958
0,761216632;0,434137715;0,761216632;0,560305254
0,757381878;0,549518168;0,757381878;0,569970748
0,756367874;0,545798683;0,756367874;0,515925911
0,71448261;0,470360036;0,71448261;0,593977703
0,775616069;0,494253123;0,775616069;0,652710335
0,680516102;0,66990761;0,680516102;0,633458963
0,690801558;0,37353269;0,690801558;0,396514939
0,747505674;0,508924468;0,747505674;0,427410259
0,734013305;0,535869216;0,734013305;0,542032627
0,775434243;0,532585682;0,775434243;0,58778454
0,737879801;0,543261382;0,737879801;0,37882765
0,776722236;0,544510606;0,776722236;0,597062349
0,743213385;0,558050376;0,743213385;0,548834245
0,69017285;0,490539087;0,69017285;0,500300073
0,702440944;0,576369681;0,702440944;0,55939817
0,72012813;0,527074525;0,72012813;0,55751951
0,74956805;0,510089918;0,74956805;0,554552073
0,74892813;0,551482845;0,74892813;0,514088413
0,757310827;0,478630775;0,757310827;0,428320041
0,755339206;0,607705665;0,755339206;0,628805885
0,716512856;0,482323864;0,716512856;0,449618765
0,781658101;0,556359639;0,781658101;0,449610338
0,719149988;0,546308641;0,719149988;0,525825995
0,736887706;0,580941232;0,736887706;0,586074844
0,779309148;0,5106197;0,779309148;0,377194365
0,715066237;0,554227081;0,715066237;0,675474666
0,7749446;0,556090459;0,7749446;0,505693911
0,742708349;0,567766979;0,742708349;0,472573566
0,797355412;0,438937478;0,797355412;0,547666504
0,744588927;0,526913796;0,744588927;0,570310013
0,704557932;0,48608104;0,704557932;0,326084147
0,76930814;0,543742273;0,76930814;0,52538487
0,827666629;0,454947449;0,827666629;0,599368361
0,735944495;0,462085605;0,735944495;0,651446874
0,771216981;0,518722372;0,771216981;0,495344273
0,761216632;0,434137715;0,761216632;0,560305254
0,785485671;0,493990443;0,785485671;0,556789806
0,824857106;0,547192463;0,824857106;0,515201154
0,703074826;0,475583379;0,703074826;0,594252025
0,757790756;0,44834086;0,757790756;0,576655029
0,747837438;0,441024577;0,747837438;0,525146956
0,777898855;0,376545902;0,777898855;0,414558303
0,736495861;0,465903617;0,736495861;0,472123898
0,800280118;0,502364845;0,800280118;0,605928058
0,858187506;0,536792827;0,858187506;0,596166936
0,800726303;0,46442208;0,800726303;0,406923721
0,772768007;0,562389378;0,772768007;0,534093116
0,758477778;0,477163102;0,758477778;0,502462062
0,791776136;0,480502946;0,791776136;0,527188692
0,793707333;0,484390951;0,793707333;0,515991215
0,747157139;0,503926303;0,747157139;0,533088791
0,772580442;0,359020914;0,772580442;0,532928352
0,811277676;0,418782205;0,811277676;0,502043734
